90,387,96
91,386,96
92,390,97
93,387,96
94,387,96
95,386,96
96,380,94
97,377,93
98,391,97
99,395,98
100,358,89
101,329,82
102,201,50
103,215,53
104,202,50
105,252,62
106,278,69
107,397,98
108,396,98
109,438,109
110,398,99
111,395,98
112,391,97
113,397,98
114,382,95
115,380,94
116,383,95
115,435,108
114,384,95
113,426,106
112,429,106
111,449,111
110,457,113
109,448,111
108,448,111
107,452,112
106,495,123
105,442,110
104,432,107
103,421,104
102,383,95
101,394,98
100,387,96
99,387,96
98,388,96
97,436,108
96,392,97
95,395,98
94,394,98
93,376,93
92,377,93
91,376,93
90,147,36
89,179,44
88,179,44
87,177,44
86,394,98
85,398,99
84,395,98
83,398,99
82,408,101
81,403,100
80,422,105
79,383,95
78,389,96
77,385,95
76,209,52
75,208,51
74,74,18
73,73,18
72,127,31
71,103,25
70,104,25
69,359,89
68,357,88
67,380,94
66,384,95
65,372,92
64,395,98
63,372,92
62,360,89
61,358,89
60,209,52
59,205,51
58,59,14
57,60,14
56,49,12
55,64,15
54,63,15
55,61,15
56,60,14
57,60,14
58,56,13
59,60,14
60,60,14
61,79,19
62,68,16
63,78,19
64,53,13
65,52,12
66,68,16
67,68,16
68,71,17
69,87,21
70,69,17
71,68,16
72,64,15
73,231,57
74,232,57
75,231,57
76,367,91
77,385,95
78,374,93
79,372,92
80,380,94
81,382,95
82,381,94
83,304,75
84,318,79
85,61,15
86,76,18
87,80,19
88,77,19
89,82,20
90,366,91
91,364,90
92,401,99
93,407,101
94,397,98
95,398,99
96,397,98
97,405,100
98,402,100
99,346,86
100,362,90
101,100,24
102,103,25
103,108,26
104,245,61
105,243,60
106,383,95
107,387,96
108,394,98
109,394,98
110,394,98
111,438,109
112,391,97
113,400,99
114,389,96
115,381,94
116,379,94
115,404,100
114,405,100
113,407,101
112,489,121
111,442,110
110,444,110
109,447,111
108,444,110
107,444,110
106,447,111
105,423,105
104,478,119
103,397,98
102,394,98
101,383,95
100,387,96
99,383,95
98,387,96
97,400,99
96,394,98
95,436,108
94,394,98
93,412,102
92,394,98
91,297,74
90,297,74
89,115,28
88,112,27
87,390,97
86,352,87
85,353,87
84,406,101
83,405,100
82,408,101
81,396,98
80,391,97
79,391,97
78,353,87
77,314,78
76,313,78
75,66,16
74,71,17
73,57,14
72,56,13
71,293,73
70,347,86
69,296,73
68,377,93
67,376,93
66,387,96
65,375,93
64,368,91
63,368,91
62,378,94
61,360,89
60,331,82
59,76,18
58,89,22
57,69,17
56,69,17
55,68,16
54,40,9
55,59,14
56,61,15
57,60,14
58,56,13
59,50,12
60,55,13
61,69,17
62,69,17
63,88,21
64,79,19
65,52,12
66,52,12
67,51,12
68,68,16
69,71,17
70,73,18
71,90,22
72,88,21
73,93,23
74,88,21
75,351,87
76,349,86
77,376,93
78,379,94
79,376,93
80,404,100
81,357,88
82,359,89
83,357,88
84,107,26
85,121,30
86,49,12
87,48,11
88,245,61
89,226,56
90,218,54
91,377,93
92,376,93
93,401,99
94,389,96
95,397,98
96,444,110
97,403,100
98,388,96
99,387,96
100,136,33
101,141,35
102,147,36
103,147,36
104,154,38
105,386,96
106,349,86
107,404,100
108,392,97
109,394,98
110,393,97
111,394,98
112,388,96
113,433,107
114,391,97
115,387,96
116,387,96
115,394,98
114,387,96
113,423,105
112,439,109
111,451,112
110,506,126
109,464,115
108,446,111
107,444,110
106,451,112
105,446,111
104,419,104
103,425,105
102,389,96
101,414,103
100,390,97
99,392,97
98,391,97
97,400,99
96,404,100
95,402,100
94,401,99
93,433,107
92,389,96
91,387,96
90,193,48
89,197,49
88,167,41
87,166,41
86,387,96
85,399,99
84,410,102
83,387,96
82,396,98
81,398,99
80,395,98
79,383,95
78,395,98
77,139,34
76,164,40
75,139,34
74,61,15
73,53,13
72,170,42
71,170,42
70,169,42
69,372,92
68,395,98
67,373,92
66,386,96
65,376,93
64,373,92
63,364,90
62,378,94
61,366,91
60,218,54
59,247,61
58,83,20
57,69,17
56,68,16
55,68,16
54,64,15
55,54,13
56,53,13
57,60,14
58,60,14
59,64,15
60,65,16
61,64,15
62,56,13
63,55,13
64,76,18
65,92,22
66,72,17
67,72,17
68,80,19
69,74,18
70,73,18
71,56,13
72,56,13
73,221,55
74,214,53
75,213,53
76,368,91
77,372,92
78,370,92
79,368,91
80,376,93
81,380,94
82,416,103
83,238,59
84,251,62
85,61,15
86,60,14
87,84,20
88,80,19
89,84,20
90,366,91
91,365,90
92,394,98
93,399,99
94,394,98
95,394,98
96,394,98
97,402,100
98,408,101
99,379,94
100,383,95
101,121,30
102,120,29
103,212,52
104,215,53
105,213,53
106,385,95
107,435,108
108,396,98
109,394,98
110,391,97
111,392,97
112,391,97
113,386,96
114,390,97
115,392,97
116,396,98
115,401,99
114,402,100
113,401,99
112,441,109
111,435,108
110,445,110
109,450,112
108,509,126
107,452,112
106,452,112
105,439,109
104,437,108
103,409,101
102,405,100
101,386,96
100,391,97
99,429,106
98,384,95
97,390,97
96,385,95
95,384,95
94,394,98
93,400,99
92,320,79
91,359,89
90,320,79
89,122,30
88,119,29
87,339,84
86,336,83
85,398,99
84,399,99
83,399,99
82,451,112
81,397,98
80,392,97
79,390,97
78,308,76
77,310,77
76,309,77
75,68,16
74,106,26
73,77,19
72,76,18
71,282,70
70,293,73
69,282,70
68,377,93
67,376,93
66,410,102
65,400,99
64,369,91
63,369,91
62,368,91
61,354,88
60,353,87
59,102,25
58,109,27
57,78,19
56,60,14
55,72,17
54,85,21
55,73,18
56,73,18
57,72,17
58,48,11
59,77,19
60,60,14
61,60,14
62,60,14
63,69,17
64,61,15
65,64,15
66,64,15
67,66,16
68,58,14
69,56,13
70,52,12
71,52,12
72,78,19
73,74,18
74,342,85
75,345,85
76,370,92
77,373,92
78,370,92
79,373,92
80,382,95
81,353,87
82,354,88
83,354,88
84,101,25
85,93,23
86,60,14
87,60,14
88,135,33
89,138,34
90,136,33
91,373,92
92,416,103
93,398,99
94,395,98
95,394,98
96,408,101
97,394,98
98,398,99
99,397,98
100,246,61
101,267,66
102,127,31
103,138,34
104,127,31
105,357,88
106,355,88
107,398,99
108,395,98
109,442,110
110,399,99
111,398,99
112,398,99
113,404,100
114,395,98
115,394,98
116,414,103
115,400,99
114,427,106
113,444,110
112,429,106
111,448,111
110,454,113
109,446,111
108,445,110
107,445,110
106,477,118
105,468,116
104,427,106
103,424,105
102,387,96
101,391,97
100,387,96
99,387,96
98,387,96
97,438,109
96,392,97
95,394,98
94,400,99
93,380,94
92,380,94
91,185,46
90,188,46
89,190,47
88,213,53
87,196,48
86,402,100
85,399,99
84,394,98
83,405,100
82,396,98
81,395,98
80,442,110
79,379,94
78,374,93
77,107,26
76,106,26
75,110,27
74,64,15
73,63,15
72,199,49
71,188,46
70,369,91
69,369,91
68,369,91
67,385,95
66,381,94
65,380,94
64,384,95
63,416,103
62,373,92
61,372,92
60,293,73
59,284,70
58,69,17
57,68,16
56,64,15
55,83,20
54,64,15
55,60,14
56,59,14
